Name	Total	Bin.1	Bin.2	Bin.3	Bin.4	Bin.5	Bin.6	Bin.7	Bin.8	Bin.9	Bin.10	Bin.11	Bin.12
apFAB300--apFAB894	19639	6555	7043	2897	1398	1264	138	115	55	2	89	82	1
apFAB300--apFAB837	19604	5346	4791	2185	2403	4033	561	108	1	46	127	2	1
apFAB277--BBa_J61108	19560	5112	3358	123	351	3377	4302	2387	264	189	97	0	0
apFAB64--apFAB892	19507	3470	2055	7	0	4	2	2	274	6889	4603	2137	64
BBa_J23108--apFAB904	19503	5358	5588	2438	2383	2850	576	261	42	3	2	2	0
apFAB104--apFAB904	19462	4185	2837	61	1	36	48	149	4083	5121	2188	753	0
BBa_J23104--apFAB864	19344	4760	3708	731	1559	5301	2244	592	106	63	124	155	1
apFAB302--BBa_J61131	19322	7208	6758	2557	1314	1300	75	23	86	1	0	0	0
apFAB317--apFAB872	19309	4588	3488	793	1398	6699	1689	480	35	23	35	80	1
apFAB104--BBa_J61108	19273	5161	4774	2463	2408	3653	566	196	50	2	0	0	0
apFAB259--apFAB833	19272	4513	3018	141	414	4784	4507	1517	296	1	79	1	1
apFAB322--apFAB857	19271	3468	2344	2	1	3	11	1	76	4546	5539	3279	1
apFAB322--apFAB876	19268	3674	2375	2	1	1	3	1	57	4411	7386	1357	0
apFAB115--apFAB901	19178	3446	2349	2	13	3	18	25	647	7214	4494	967	0
apFAB55--apFAB864	19139	6001	7318	2616	1511	1057	100	214	120	1	200	1	0
BBa_J23116--apFAB845	19100	6175	6835	2822	1514	1390	145	175	16	1	26	1	0
apFAB75--apFAB868	19084	4007	2849	90	81	4239	4771	2407	245	107	157	130	1
apFAB342--apFAB916	19063	3266	2263	77	0	10	8	159	794	6285	4808	1353	40
BBa_J23117--apFAB872	19041	8880	7366	1480	679	384	81	68	26	1	75	1	0
apFAB311--apFAB890	19024	7878	7652	1617	746	776	150	3	41	0	54	106	1
apFAB342--apFAB868	18977	4629	5667	2425	3087	2535	396	219	19	0	0	0	0
BBa_J23104--apFAB901	18961	3266	2087	4	1	3	1	14	114	5150	5769	2551	1
apFAB259--BBa_J61131	18952	8713	7584	1331	597	443	58	137	24	0	65	0	0
BBa_J23108--apFAB868	18942	8118	7289	1414	879	867	65	67	56	0	187	0	0
apFAB130--apFAB904	18913	4201	3578	2449	3040	4362	954	126	52	1	12	138	0
apFAB338--BBa_J61131	18850	4976	6502	3229	2218	1601	182	83	59	0	0	0	0
apFAB259--apFAB917	18831	4922	4859	3253	2258	2768	287	332	57	59	34	1	1
apFAB302--apFAB844	18810	4711	3106	737	721	6457	2327	562	109	78	1	0	1
apFAB259--BBa_J61136	18754	6787	6528	2828	1225	689	188	104	166	0	107	0	132
apFAB311--apFAB833	18742	4500	4002	1247	1902	4985	1258	775	0	2	70	0	1
BBa_J23115--apFAB904	18725	4379	4057	1921	2574	4589	738	463	1	1	2	0	0
apFAB277--Plotkin_RBS	18721	3765	2510	20	2	16	50	142	2009	6697	3280	229	1
apFAB300--apFAB901	18718	5886	6451	2990	1921	1088	138	101	9	0	133	0	1
BBa_J23105--apFAB904	18701	4944	3246	55	8	32	984	4027	4186	959	130	37	93
apFAB62--apFAB872	18693	3073	2101	1	10	5	8	64	1471	7161	3952	846	1
apFAB64--BBa_J61124	18676	4923	3825	1265	2062	5300	910	339	20	1	29	1	1
