Name	Total	Bin.1	Bin.2	Bin.3	Bin.4	Bin.5	Bin.6	Bin.7	Bin.8	Bin.9	Bin.10	Bin.11	Bin.12
apFAB312--BBa_J61139	12002	4997	4191	1475	742	163	92	102	21	0	219	0	0
apFAB55--BBa_J61107	11995	2871	2555	1315	1325	2770	680	310	50	59	59	1	0
BBa_J23106--Anderson_RBS	11995	3201	2174	345	414	2684	2193	866	52	66	0	0	0
apFAB104--apFAB837	11995	2456	1688	10	2	3	37	71	965	4194	2471	96	2
apFAB104--apFAB917	11990	2409	1633	1	0	4	23	14	1729	4219	1787	169	2
apFAB124--apFAB895	11990	5359	4794	1063	506	89	26	34	0	1	117	0	1
apFAB300--apFAB895	11989	5360	4431	1063	602	165	76	30	28	125	107	1	1
apFAB104--BBa_J61101	11986	5009	4747	764	677	529	43	123	46	0	48	0	0
apFAB302--apFAB869	11986	3554	3589	2163	1084	1176	116	20	26	109	149	0	0
apFAB259--apFAB889	11985	3170	2773	1735	1733	1948	485	134	6	0	0	0	1
apFAB338--BBa_J61101	11983	3893	4178	1582	941	670	100	1	0	93	249	0	276
apFAB114--BBa_J61119	11977	5106	4735	947	508	335	165	93	0	0	88	0	0
apFAB321--BBa_J61137	11975	2625	2033	957	1107	3534	1262	279	16	59	103	0	0
apFAB104--BBa_J61110	11974	3234	2706	2643	1462	1622	295	8	3	0	0	1	0
apFAB346--BBa_J61112	11972	2796	1901	196	347	2921	2916	714	85	95	1	0	0
apFAB124--BBa_J61120	11966	5694	4697	648	521	219	67	72	47	1	0	0	0
BBa_J23109--apFAB868	11961	4099	4335	1698	1031	669	13	101	13	1	1	0	0
BBa_J23102--apFAB903	11959	3183	2069	3	2	122	625	2277	3167	473	37	0	1
apFAB317--apFAB848	11958	1849	1231	0	1	2	0	8	78	3468	4274	1047	0
apFAB302--apFAB873	11957	4195	5343	1018	930	224	46	179	17	1	1	1	2
BBa_J23117--BBa_J61107	11956	5612	4793	933	392	123	76	0	0	0	27	0	0
apFAB259--apFAB918	11955	4292	4297	1310	1179	580	24	148	49	0	76	0	0
apFAB150--GSG_RBS	11955	2912	1981	3	22	520	2171	3323	956	0	61	0	6
apFAB125--apFAB909	11952	2238	1610	1	1	54	3	32	1332	4710	1906	65	0
apFAB300--apFAB917	11949	2908	2695	1372	1212	2898	569	169	37	88	0	0	1
BBa_J23103--BBa_J61137	11944	5639	4164	841	465	409	102	137	1	0	186	0	0
apFAB322--BBa_J61128	11941	2821	1958	55	54	806	2453	3124	584	1	0	85	0
apFAB55--apFAB889	11941	1829	1312	1	0	1	2	1	4	24	1222	5407	2138
apFAB62--apFAB894	11940	2060	1486	0	0	1	2	19	44	2985	3782	1500	61
J23101--apFAB848	11936	2286	1509	2	4	1	0	0	18	167	1722	5552	675
BBa_J23103--apFAB883	11936	5428	4168	1126	628	313	47	210	0	16	0	0	0
apFAB277--BBa_J61132	11934	2909	1856	16	0	295	1553	3769	1286	179	71	0	0
BBa_J23107--apFAB833	11934	1729	1160	1	0	2	2	25	37	1550	3850	3578	0
apFAB339--apFAB845	11933	2244	1548	3	1	0	11	21	456	5064	1876	649	60
apFAB346--BBa_J61100	11929	1867	1316	2	1	3	1	0	1	120	1266	6593	759
apFAB114--apFAB923	11927	4941	4668	1012	604	453	1	107	32	0	108	0	1
apFAB104--apFAB827	11927	3025	1973	4	2	212	901	3440	1910	399	11	50	0
BBa_J23115--apFAB895	11923	5153	4473	1172	601	247	0	60	0	86	131	0	0
apFAB312--apFAB833	11923	3063	2010	2	11	12	274	713	4100	1372	365	0	1
BBa_J23109--apFAB862	11922	3308	3045	1455	1281	1961	567	174	68	1	7	55	0
apFAB317--apFAB892	11921	2739	2861	1906	1962	1989	212	82	63	0	64	2	41
apFAB302--salis-2-3	11920	2084	1438	0	0	1	0	7	15	669	2918	4271	517
apFAB58--B0030_RBS	11917	2215	1454	1	0	0	5	0	21	54	648	6283	1236
apFAB322--apFAB894	11915	2941	2038	33	1	39	291	2256	3082	706	525	2	1
apFAB64--apFAB917	11914	2007	1375	17	0	2	1	1	3	0	154	4671	3683
BBa_J23114--apFAB909	11911	3563	4447	1858	1205	668	80	71	6	0	12	1	0
BBa_J23116--apFAB894	11909	4058	4409	1458	1001	856	32	0	58	36	0	1	0
apFAB338--apFAB826	11908	3292	4146	1713	1539	834	99	158	40	0	86	1	0
apFAB78--apFAB837	11905	1800	1244	0	2	0	1	38	0	80	206	5530	3004
apFAB63--BBa_J61108	11903	2980	2068	14	59	2029	3137	1424	52	82	56	1	1
apFAB312--BBa_J61109	11902	3130	3101	1717	1185	2223	477	32	2	1	34	0	0
apFAB321--BBa_J61136	11902	4263	4718	1153	883	659	180	0	43	0	3	0	0
apFAB58--apFAB826	11897	2959	2068	0	2	83	1123	3048	2354	228	28	3	1
apFAB124--apFAB901	11895	5172	4537	711	599	403	33	128	10	90	201	11	0
apFAB129--apFAB856	11895	2136	1657	611	1091	4777	1285	202	3	0	0	1	132
BBa_J23104--apFAB827	11891	1781	1204	1	0	39	7	2	45	1440	4079	2525	768
BBa_J23107--apFAB927	11889	2637	1968	828	1156	3380	1494	312	53	61	0	0	0
apFAB49--apFAB904	11885	2201	1503	2	33	71	6	161	2470	4179	1257	1	1
apFAB129--GSG_RBS	11883	3480	4231	1776	1160	859	174	0	12	1	190	0	0
BBa_J23108--BBa_J61132	11882	5044	4696	857	373	389	194	205	26	98	0	0	0
apFAB311--Alon_RBS	11882	3865	4562	1590	968	343	200	175	22	0	0	1	156
apFAB321--BBa_J61127	11882	2796	1884	6	30	391	2282	3361	671	306	155	0	0
BBa_J23104--salis-3-3	11881	2337	1427	1	0	1	4	2	23	392	2479	4857	358
apFAB312--apFAB857	11878	3073	1979	3	3	1	656	1868	3308	855	132	0	0
J23101--apFAB914	11874	2928	1970	61	86	1405	2548	2488	373	0	15	0	0
BBa_J23116--salis-4-2	11874	2782	2027	745	978	3180	1613	442	54	1	2	48	2
apFAB300--BBa_J61128	11870	5173	4462	1373	566	165	38	89	4	0	0	0	0
J23101--apFAB831	11867	2229	1409	1	0	23	6	1	42	2749	4465	942	0
apFAB115--apFAB851	11866	2027	1479	26	31	2	0	3	8	191	2324	4742	1033
apFAB76--apFAB864	11865	2969	3834	1645	1588	1319	171	90	0	184	65	0	0
BBa_J23106--salis-4-7	11865	2915	1862	0	30	1424	3002	2070	337	158	0	66	1
apFAB124--apFAB868	11865	5483	4687	754	281	389	60	51	53	107	0	0	0
apFAB109--BBa_J61113	11861	5066	4633	940	1040	139	25	0	0	0	18	0	0
apFAB125--BBa_J61108	11854	3302	2259	1	2	58	296	2308	2855	618	155	0	0
BBa_J23109--apFAB837	11851	3035	2141	34	0	1	106	1374	3858	1282	20	0	0
apFAB338--apFAB866	11848	2966	3154	1927	1703	1885	101	1	27	0	82	1	1
BBa_J23100--BBa_J61131	11844	3105	3217	1486	1725	1778	296	18	87	68	62	1	1
apFAB125--apFAB844	11841	3046	2044	2	2	34	979	3918	1546	269	1	0	0
apFAB125--BBa_J61128	11840	3188	2259	50	122	1902	2565	1390	126	116	55	67	0
apFAB259--BBa_J61129	11839	4270	4393	1523	627	742	109	41	7	1	125	1	0
apFAB109--BBa_J61127	11837	4985	4513	1094	499	532	0	28	49	0	136	1	0
apFAB302--Anderson_RBS	11836	3058	2027	0	14	206	1104	3479	1688	258	0	1	1
BBa_J23105--BBa_J61110	11834	3921	4762	1451	1079	519	0	71	29	2	0	0	0
apFAB300--BBa_J61130	11832	4720	4662	1459	620	314	1	24	0	0	32	0	0
apFAB345--apFAB844	11830	2962	2092	1	14	0	70	1384	3441	1626	152	40	48
apFAB139--B0034_RBS	11830	3575	3488	1674	1204	1628	211	17	2	0	30	0	1
J23101--BBa_J61107	11830	3540	3624	2169	1340	910	176	42	20	2	7	0	0
apFAB311--BBa_J61120	11830	4925	4136	1312	490	788	49	67	0	0	63	0	0
apFAB312--apFAB832	11830	2892	1892	91	54	566	2224	3077	982	51	0	1	0
BBa_J23115--BBa_J61115	11825	5239	4304	1130	659	430	3	33	26	0	1	0	0
apFAB104--BBa_J61125	11824	5108	4390	957	682	381	1	91	38	176	0	0	0
BBa_J23118--BBa_J61106	11823	3035	2188	300	812	3724	1167	422	52	38	83	1	1
apFAB338--apFAB833	11821	1957	1406	107	0	2	1	0	42	376	3434	4287	209
BBa_J23100--apFAB871	11820	3642	3924	1988	1393	718	43	0	104	1	5	2	0
apFAB109--BBa_J61129	11818	5315	4188	873	946	192	151	109	0	0	44	0	0
apFAB53--apFAB864	11816	2332	2764	1658	1755	2847	298	61	10	88	0	0	3
BBa_J23117--apFAB914	11814	5446	4407	902	582	325	0	77	0	0	75	0	0
apFAB57--apFAB910	11813	2350	1661	0	0	4	1	35	297	4682	2112	665	6
apFAB322--apFAB869	11813	2922	2904	953	1436	2946	391	248	0	2	11	0	0
apFAB77--apFAB872	11813	2461	1689	0	1	2	1	30	836	4101	2195	497	0
BBa_J23114--apFAB866	11812	5104	4111	1308	643	402	44	32	112	0	55	1	0
apFAB76--apFAB890	11810	4514	5227	943	656	180	68	103	0	20	99	0	0
apFAB104--BBa_J61128	11806	4500	4163	1608	742	318	185	140	0	0	150	0	0
apFAB300--BBa_J61100	11804	4717	4425	1014	388	652	97	249	14	37	211	0	0
BBa_J23103--apFAB844	11803	5327	4404	1167	589	199	0	43	0	0	74	0	0
BBa_J23115--GSGV_RBS	11801	4837	4205	1262	709	409	25	132	25	0	197	0	0
BBa_J23106--BBa_J61112	11801	2565	1961	1527	1375	3277	642	347	42	3	62	0	0
BBa_J23106--apFAB848	11799	2632	1748	69	142	1075	3244	2274	594	1	20	0	0
apFAB64--BBa_J61122	11798	3140	2013	15	3	893	2795	2468	334	104	32	1	0
BBa_J23117--Bujard_RBS	11795	4605	4448	1407	802	382	59	39	0	5	11	0	37
apFAB77--BBa_J61109	11791	2451	1665	41	0	4	1	106	2057	3304	2162	0	0
apFAB317--apFAB964	11790	4549	4689	1175	674	247	87	98	17	1	235	18	0
BBa_J23105--apFAB832	11789	2566	2243	420	1003	4232	816	506	0	0	0	1	2
apFAB311--BBa_J61118	11788	4485	4673	1228	837	389	31	62	1	0	82	0	0
apFAB312--apFAB860	11787	2791	1941	544	589	3364	1821	536	158	16	26	0	1
BBa_J23118--apFAB914	11786	3395	3533	2159	1298	1064	103	131	48	0	34	0	21
BBa_J23108--BBa_J61128	11782	5544	4365	918	587	244	41	60	22	1	0	0	0
apFAB115--apFAB917	11777	1862	1348	1	0	0	1	0	1	58	1324	5791	1391
BBa_J23113--JBEI_RBS	11776	2242	1460	0	1	57	3	1	45	24	997	4595	2351
BBa_J23109--apFAB884	11776	3404	2333	0	7	68	1412	2549	1765	169	69	0	0
apFAB62--BBa_J61137	11772	1697	1201	0	0	1	0	0	43	44	1647	5649	1490
apFAB130--apFAB909	11772	2645	1899	106	41	1760	2996	1916	346	61	0	0	2
apFAB322--BBa_J61113	11771	1956	1264	1	1	0	1	18	228	3762	3377	1163	0
apFAB124--apFAB834	11770	5047	4118	1099	708	735	0	40	2	0	21	0	0
BBa_J23115--apFAB954	11770	5776	4919	488	303	120	47	50	0	59	8	0	0
BBa_J23117--BBa_J61125	11768	5540	4678	698	308	361	39	35	39	0	70	0	0
apFAB55--BBa_J61130	11768	3480	4120	1304	1547	1012	53	111	33	77	3	28	0
BBa_J23118--apFAB910	11767	3254	2035	1	98	11	112	1577	3008	1358	311	1	1
apFAB347--BBa_J61101	11764	3768	4588	1610	1063	583	78	54	16	0	4	0	0
apFAB306--apFAB826	11762	2785	1895	0	0	155	2001	3921	812	106	87	0	0
apFAB104--apFAB831	11761	3207	2126	0	1	123	627	2242	2490	923	22	0	0
apFAB58--apFAB912	11761	1918	1325	0	3	1	8	1	101	2394	3791	2093	126
apFAB259--Bujard_RBS	11758	2744	1720	1	40	24	54	109	2324	3891	849	0	2
apFAB259--apFAB890	11758	4605	4225	1592	783	300	92	129	0	0	31	1	0
apFAB115--apFAB912	11754	2120	1459	31	39	5	0	0	1	90	688	5158	2163
BBa_J23106--BBa_J61132	11753	2533	2349	1708	1618	2992	436	88	29	0	0	0	0
BBa_J23106--B0030_RBS	11749	2031	1396	2	20	0	2	7	43	987	2923	3830	508
apFAB259--BBa_J61104	11749	4048	3684	1790	1093	825	179	37	80	0	13	0	0
BBa_J23104--BBa_J61133	11748	4416	4232	1447	753	404	181	58	138	70	49	0	0
apFAB58--BBa_J61109	11735	2868	2018	144	213	3067	2412	658	280	73	1	0	1
BBa_J23105--salis-4-7	11732	2942	2197	140	435	3324	1919	675	63	35	1	1	0
BBa_J23117--apFAB869	11730	5313	4445	721	420	367	53	172	67	0	172	0	0
apFAB347--BBa_J61134	11730	4140	4323	1497	551	693	72	176	85	1	192	0	0
apFAB300--BBa_J61104	11729	4172	3969	1590	831	783	81	36	0	0	156	111	0
apFAB57--apFAB864	11728	4057	4656	1653	1006	241	0	0	9	1	105	0	0
apFAB306--apFAB923	11727	2156	1480	1	0	18	1	5	71	1806	4136	2053	0
apFAB54--BBa_J61131	11726	2046	1495	2	3	1	5	0	696	4697	2627	154	0
BBa_J23113--apFAB884	11723	2980	1945	1	1	58	105	1121	3635	1608	269	0	0
apFAB55--apFAB854	11722	2774	1931	1	87	943	2801	2214	600	88	102	161	20
apFAB55--apFAB917	11722	2085	1347	0	1	3	0	3	1	2	233	3463	4584
apFAB346--apFAB857	11722	3056	2106	2	44	176	376	3123	2475	360	1	1	2
apFAB124--apFAB954	11721	5056	4888	772	457	315	35	144	0	2	51	0	1
BBa_J23100--salis-4-10	11720	1835	1249	54	0	15	0	4	43	208	1870	5600	842
apFAB317--apFAB826	11717	2810	1902	0	31	1825	2930	1923	259	1	1	35	0
apFAB317--apFAB827	11717	2611	1862	32	58	117	2200	3788	563	424	61	0	1
apFAB322--apFAB916	11714	1866	1370	2	0	35	0	5	15	16	976	5961	1468
apFAB58--apFAB834	11713	2271	1445	1	2	31	1	34	31	2314	3497	2031	55
apFAB306--BBa_J61100	11713	2536	1784	2	0	10	31	139	2269	4129	811	1	1
apFAB115--apFAB834	11712	2737	1821	0	3	0	4	15	15	120	1311	5055	631
apFAB125--BBa_J61131	11712	2807	1857	134	298	3967	1609	950	88	0	0	2	0
apFAB55--BBa_J61131	11712	3969	4504	1470	821	632	55	0	57	0	66	138	0
apFAB317--Anderson_RBS	11711	3690	4293	1849	933	621	41	116	84	0	81	3	0
apFAB277--JBEI_RBS	11709	2355	1530	0	0	0	0	80	923	5402	1406	12	1
apFAB114--apFAB884	11707	5227	4298	717	802	382	70	129	32	0	50	0	0
apFAB277--salis-4-7	11707	2936	2170	92	372	3074	2159	836	66	0	1	0	1
apFAB125--salis-4-7	11703	1843	1202	1	0	1	0	0	9	700	3302	4000	645
apFAB277--BBa_J61125	11703	3838	4012	1480	1327	887	157	1	0	0	1	0	0
apFAB115--apFAB872	11703	3142	2167	156	1	157	1209	2828	1411	475	152	0	5
BBa_J23116--BBa_J61109	11700	5005	3984	1385	831	312	1	88	68	0	26	0	0
BBa_J23118--apFAB826	11697	3175	2915	1287	1426	2084	510	184	0	84	31	0	1
apFAB124--apFAB837	11696	5600	3920	911	545	457	47	159	57	0	0	0	0
BBa_J23102--apFAB895	11692	3909	3752	1816	1228	644	162	67	113	0	0	1	0
apFAB311--BBa_J61104	11691	3360	3810	1754	1290	1204	79	144	0	1	49	0	0
apFAB109--BBa_J61133	11691	5053	4139	878	662	663	30	77	2	38	148	1	0
apFAB98--apFAB844	11689	2852	3189	1903	1782	1648	245	36	32	0	1	1	0
apFAB124--apFAB821	11685	5404	4128	852	718	434	125	23	0	0	0	1	0
apFAB312--salis-3-11	11685	4646	4141	1538	788	322	63	145	27	0	15	0	0
BBa_J23117--BBa_J61134	11683	5451	4065	1023	623	255	0	38	60	0	48	0	120
apFAB63--apFAB871	11682	4029	4846	1237	1003	306	94	63	80	24	0	0	0
apFAB124--BBa_J61106	11679	5069	4357	1222	607	67	169	108	0	0	80	0	0
apFAB63--salis-4-7	11678	2363	1571	2	2	0	2	0	125	2999	3251	1320	43
BBa_J23106--apFAB909	11678	2614	1731	201	248	3304	2644	855	78	2	1	0	0
apFAB317--BBa_J61139	11674	3773	4328	1196	1280	533	105	321	0	0	138	0	0
apFAB78--BBa_J61134	11673	5423	4146	942	489	160	65	216	2	4	226	0	0
apFAB58--apFAB914	11669	2780	2056	815	1192	3407	913	393	77	3	0	33	0
apFAB124--BBa_J61118	11668	5458	4357	842	572	58	56	231	0	1	93	0	0
apFAB75--apFAB914	11659	2653	1907	101	296	2867	2632	1120	39	1	0	43	0
BBa_J23117--apFAB848	11656	4970	4106	1508	595	215	62	92	74	0	33	0	1
apFAB124--apFAB832	11654	5345	4212	899	629	340	1	89	0	24	114	1	0
BBa_J23113--BBa_J61132	11653	4527	4537	1091	727	569	43	63	1	90	0	0	5
apFAB114--apFAB912	11653	5241	4198	945	500	464	34	161	0	0	109	0	1
apFAB104--apFAB871	11653	5186	4471	856	461	369	45	56	8	0	199	1	1
apFAB64--Anderson_RBS	11653	3191	2072	0	9	9	51	328	3986	1418	588	1	0
BBa_J23109--apFAB909	11646	2956	1957	46	331	3319	2408	511	90	1	26	1	0
apFAB62--apFAB895	11644	2312	1675	2	22	0	3	44	1811	3788	1663	324	0
apFAB300--apFAB834	11642	2766	2113	393	578	3508	1869	362	37	0	16	0	0
apFAB346--BBa_J61118	11642	2765	1895	558	925	3927	952	553	39	27	0	1	0
apFAB277--BBa_J61133	11642	5261	4630	830	465	270	96	34	23	1	32	0	0
BBa_J23106--apFAB873	11640	4827	4797	955	440	391	18	53	46	23	90	0	0
BBa_J23116--apFAB917	11640	2947	2220	473	778	3735	1154	333	0	0	0	0	0
BBa_J23117--B0030_RBS	11639	4648	4131	1311	882	424	126	68	0	32	16	1	0
apFAB55--salis-4-10	11637	1970	1455	0	0	1	0	16	28	530	2248	5052	337
apFAB58--apFAB831	11634	2986	2130	25	0	14	545	2649	2387	622	275	1	0
apFAB48--DeadRBS	11633	5670	4337	684	225	429	41	139	0	0	107	0	1
BBa_J23104--apFAB844	11631	2860	2009	9	15	714	2366	2591	967	100	0	0	0
apFAB346--apFAB848	11628	1816	1310	0	1	0	1	6	407	3545	3673	868	1
apFAB339--apFAB883	11628	2714	1910	35	0	2	14	73	1981	3663	1122	114	0
apFAB323--BBa_J61134	11626	2672	1958	428	487	4194	1254	513	8	7	17	88	0
apFAB321--BBa_J61108	11626	3822	4243	1517	1264	617	59	30	39	0	33	1	1
apFAB338--BBa_J61113	11623	2764	2167	88	318	2070	2182	1923	26	0	85	0	0
apFAB124--apFAB856	11622	5168	4405	980	691	204	38	0	63	27	45	1	0
apFAB317--BBa_J61113	11621	2957	1945	0	0	40	987	2960	2192	363	176	1	0
BBa_J23116--apFAB892	11619	4277	3721	1587	920	779	121	75	1	10	128	0	0
apFAB277--apFAB832	11615	2653	1901	270	417	3774	1576	948	0	0	75	0	1
apFAB65--apFAB883	11614	1841	1297	0	0	0	3	2	5	22	965	5722	1757
BBa_J23117--apFAB884	11614	4672	4126	1129	834	701	68	1	10	19	54	0	0
apFAB323--salis-4-10	11614	1954	1352	1	17	0	1	2	3	38	114	4128	4004
apFAB77--apFAB922	11612	2959	2066	56	99	1719	2647	1673	130	128	4	131	0
apFAB322--apFAB964	11610	3614	3755	1782	1224	1040	80	59	21	1	33	0	1
apFAB302--apFAB868	11610	2913	2839	1121	1765	2442	241	151	43	55	39	1	0
apFAB64--apFAB883	11610	2113	1431	3	1	0	1	4	329	4130	3257	340	1
BBa_J23102--BBa_J61131	11610	3809	4023	1860	1002	689	98	128	0	0	0	1	0
apFAB48--BBa_J61119	11608	2311	1697	250	173	3223	2342	1172	132	109	77	122	0
apFAB338--BBa_J61130	11605	2995	2982	2032	1411	1529	448	84	24	75	24	1	0
apFAB57--apFAB890	11602	3055	2714	1761	1756	1976	315	20	2	2	0	0	1
BBa_J23102--apFAB890	11601	2980	1958	1	0	252	2366	3171	689	93	90	1	0
apFAB339--apFAB872	11599	2922	1994	22	8	0	672	2534	2895	449	101	1	1
apFAB49--apFAB872	11592	2674	1856	442	1209	3855	1000	380	62	0	0	111	3
BBa_J23103--BBa_J61124	11592	5218	4443	1070	331	356	32	26	95	0	20	1	0
BBa_J23105--apFAB856	11592	2512	2436	1668	1660	2759	363	128	65	0	1	0	0
apFAB338--apFAB854	11586	4341	4371	1210	916	495	36	117	26	1	71	1	1
BBa_J23115--apFAB831	11584	4833	4701	643	705	214	73	177	0	0	238	0	0
apFAB109--apFAB903	11584	4985	4686	902	508	169	81	161	1	89	1	0	1
apFAB323--BBa_J61130	11583	3028	2262	1127	1201	3084	833	28	12	7	1	0	0
apFAB311--salis-4-7	11582	2595	2087	977	1151	3394	893	241	0	48	195	1	0
apFAB277--apFAB890	11582	3390	3830	2646	810	654	68	38	0	86	60	0	0
apFAB77--apFAB964	11577	3070	2083	1	25	688	2508	2573	512	66	23	28	0
apFAB67--BBa_J61119	11577	2919	1943	2	129	2332	3137	1078	29	0	0	1	7
apFAB82--apFAB876	11575	2185	1507	0	1	8	5	35	1382	4052	1941	459	0
BBa_J23113--BBa_J61111	11575	5102	4395	1355	529	127	19	47	0	0	0	1	0
apFAB58--BBa_J61120	11573	2934	1995	397	828	3583	1302	507	20	0	7	0	0
BBa_J23117--BBa_J61137	11572	5077	4697	760	456	385	55	58	20	0	63	1	0
apFAB79--DeadRBS	11571	5142	4679	709	348	255	108	98	21	53	83	0	75
apFAB67--apFAB872	11569	2209	1442	0	0	2	0	1	41	1838	4035	2000	1
BBa_J23115--apFAB861	11568	3508	4277	1484	1002	1069	126	68	4	30	0	0	0
apFAB323--apFAB922	11567	3261	2252	52	100	1445	2857	1521	78	0	1	0	0
apFAB311--apFAB922	11561	4829	3968	1265	668	631	0	54	30	0	115	1	0
apFAB259--apFAB832	11561	2792	2290	489	921	3486	1198	291	55	0	39	0	0
apFAB104--BBa_J61136	11560	3967	4332	1518	769	626	24	67	32	27	26	172	0
apFAB75--apFAB903	11559	2825	1828	2	0	32	516	3547	2305	373	131	0	0
apFAB347--apFAB821	11555	2847	2375	643	1237	3227	801	338	1	25	33	28	0
apFAB115--apFAB833	11553	2218	1487	0	1	0	0	33	1	111	653	3783	3266
apFAB338--BBa_J61129	11552	2624	2078	459	1134	3965	1056	201	25	0	10	0	0
BBa_J23109--BBa_J61132	11550	4501	4278	1313	759	385	72	125	56	5	54	1	1
apFAB104--apFAB883	11550	3429	2345	418	687	2273	1884	389	23	1	99	1	1
apFAB312--apFAB848	11548	2711	1835	1	12	13	3	561	3195	2342	653	222	0
apFAB114--BBa_J61104	11548	5226	4191	922	621	254	99	76	0	0	158	1	0
apFAB302--BBa_J61107	11546	3290	3877	1709	1103	1346	119	11	89	0	2	0	0
apFAB125--apFAB873	11542	3233	3413	2152	1430	1029	100	58	52	38	36	1	0
apFAB338--salis-4-10	11538	2669	2013	1	1	135	902	2604	2611	601	0	0	1
apFAB109--BBa_J61131	11534	5355	4600	778	274	431	19	36	0	41	0	0	0
BBa_J23102--BBa_J61120	11531	2914	2416	1730	1286	2780	265	137	1	0	0	2	0
apFAB323--BBa_J61113	11530	2803	1904	4	7	546	2769	2933	460	2	75	0	27
apFAB322--apFAB918	11530	2860	2275	339	435	3132	1999	205	28	78	38	140	1
apFAB95--DeadRBS	11529	4993	4218	1163	431	252	3	175	0	166	114	0	14
apFAB339--BBa_J61111	11524	1924	1341	0	1	1	0	8	549	4687	2648	365	0
BBa_J23104--apFAB856	11522	2240	1465	2	2	5	0	28	214	3382	3496	688	0
apFAB346--apFAB827	11522	2114	1572	1	0	0	11	85	672	4327	2366	374	0
apFAB78--apFAB901	11522	1916	1288	2	0	0	0	82	650	5024	2206	354	0
BBa_J23117--apFAB827	11516	4677	3859	1602	514	440	113	60	1	62	179	9	0
apFAB125--salis-2-3	11514	1928	1285	1	0	0	2	1	0	51	1323	5093	1830
apFAB300--salis-4-4	11512	3042	2721	1141	1359	2718	411	119	0	0	0	0	1
apFAB104--B0030_RBS	11509	1942	1280	0	1	1	0	20	51	220	2417	4931	646
apFAB321--apFAB857	11509	2136	1640	2	2	12	3	101	1031	4843	1572	166	1
BBa_J23118--BBa_J61134	11508	4609	4045	1425	654	428	73	122	46	0	103	2	1
BBa_J23103--Alon_RBS	11498	5059	4545	826	720	128	77	14	1	0	128	0	0
apFAB115--apFAB826	11496	2923	2023	2	2	9	82	408	2907	2684	455	1	0
apFAB124--apFAB844	11496	5055	4572	547	515	771	0	8	0	0	28	0	0
apFAB306--apFAB839	11496	2308	1564	35	0	2	2	6	204	2458	3308	1608	1
apFAB124--apFAB890	11496	5027	4064	1027	642	206	142	40	0	0	163	0	185
BBa_J23113--apFAB854	11494	2664	2252	685	1057	3927	730	97	20	1	61	0	0
apFAB75--BBa_J61136	11494	2431	1593	2	0	2	1	236	3560	3110	380	179	0
apFAB346--apFAB884	11493	1914	1262	1	1	1	0	27	203	4074	3375	516	119
apFAB339--BBa_J61103	11492	3100	2142	246	532	2865	1962	434	123	71	1	0	16
J23101--apFAB868	11487	2827	1914	59	512	4061	1649	346	115	1	3	0	0
apFAB62--salis-4-7	11487	1415	1099	0	0	0	0	3	0	46	406	4307	4211
J23101--apFAB876	11487	1980	1350	0	0	1	3	0	15	476	2623	4220	819
apFAB259--apFAB923	11479	2870	1908	98	304	1992	2334	1417	461	21	74	0	0
BBa_J23103--apFAB869	11478	5469	3802	848	576	327	0	294	68	0	94	0	0
apFAB339--apFAB837	11475	2185	1438	0	22	1	1	0	0	12	60	2775	4981
apFAB77--BBa_J61122	11474	2042	1481	1	1	0	9	40	43	2047	3584	1763	463
apFAB277--GSGV_RBS	11470	3222	3150	1547	1710	1392	431	13	1	0	1	3	0
BBa_J23113--BBa_J61127	11470	4769	4804	834	495	257	188	56	10	0	57	0	0
BBa_J23104--Alon_RBS	11470	1978	1232	1	0	0	1	0	33	209	2395	5151	470
apFAB342--apFAB889	11469	2589	1847	17	3	1	166	1622	3429	1349	150	295	1
BBa_J23115--BBa_J61136	11469	5284	4852	662	371	81	45	96	0	50	27	0	1
apFAB317--BBa_J61120	11469	2560	2106	146	1154	3602	1123	605	77	60	34	2	0
apFAB323--BBa_J61124	11468	2632	2355	1439	1796	2308	615	114	25	0	45	0	139
apFAB311--apFAB856	11468	3198	3620	1712	1189	1231	261	182	38	0	34	0	3
apFAB322--apFAB848	11465	1938	1266	0	0	5	0	0	7	1367	3397	3482	3
apFAB63--BBa_J61107	11461	3210	4186	1570	1393	803	106	57	4	110	21	1	0
apFAB339--BBa_J61134	11457	2624	2017	516	1021	3506	1477	217	36	0	40	2	1
apFAB323--BBa_J61103	11456	2839	2795	1596	1513	2178	279	30	103	0	57	66	0
apFAB306--BBa_J61109	11453	3249	3860	2138	1160	441	136	214	7	69	178	1	0
apFAB322--apFAB871	11452	3805	4154	1466	819	734	135	56	0	0	175	108	0
BBa_J23103--apFAB821	11451	5260	4562	923	334	248	34	28	0	0	61	1	0
apFAB311--BBa_J61130	11449	4567	3861	1237	954	550	64	80	0	0	136	0	0
apFAB311--apFAB837	11445	2836	1937	2	5	24	566	2481	2858	645	5	1	85
apFAB346--BBa_J61127	11445	2284	1435	32	1	3	24	125	2602	3807	960	171	1
apFAB300--BBa_J61131	11443	4952	4667	978	480	205	85	0	51	0	25	0	0
BBa_J23100--BBa_J61129	11441	2562	1630	0	3	4	7	307	3424	2581	919	4	0
apFAB345--apFAB964	11438	2554	2441	1764	1644	2577	230	44	57	62	64	1	0
BBa_J23113--apFAB867	11438	3126	2824	1596	1332	2306	105	59	64	0	1	25	0
BBa_J23109--apFAB851	11437	2984	1957	5	0	12	250	1731	3730	587	93	88	0
